,hourly_dayahead_dol_per_kwh,realtime_production_kwh,realtime_supplied_kwh,solar_production_kwh,electrolyser_consumption_kwh,compressor_consumption_kwh,liquefaction_consumption_kwh,electrolyser_produced_kg,compressor_produced_kg,liquefaction_produced_kg,compress_to_liquefaction,fuel_cell_consumed_kg,gh2_storage_level_kg,gh2_storage_net_inflow,gh2_storge_inflow_kg,gh2_storage_outflow_kg
469,0.02416,0.0,0.0,110.98527746319367,90.92349850092153,6.612618072794293,13.449160889477856,1.6531545181985732,1.6531545181985732,1.3449160889477856,1.3449160889477856,0.0,6.841749431455881,0.3082384292507876,0.3082384292507876,0.0
470,0.023059999999999997,0.0,0.0,110.98527746319367,90.92349850092153,6.612618072794293,13.449160889477856,1.6531545181985732,1.6531545181985732,1.3449160889477856,1.3449160889477856,0.0,7.149987860706668,0.3082384292507876,0.3082384292507876,0.0
471,0.02126,0.0,0.0,110.98527746319367,90.92349850092153,6.612618072794293,13.449160889477856,1.6531545181985732,1.6531545181985732,1.3449160889477856,0.0,0.0,7.458226289957455,0.3082384292507876,1.6531545181985732,1.3449160889477856
472,0.02124,0.0,0.0,108.2954452852981,90.92349850092153,6.612618072794293,10.759328711582285,1.6531545181985732,1.6531545181985732,1.0759328711582286,1.0759328711582286,0.0,7.766464719208242,0.5772216470403446,0.5772216470403446,0.0
473,0.0256,0.0,0.0,15.402038505096263,6.835420481822461,0.4971214895870881,8.069496533686713,0.12428037239677202,0.12428037239677202,0.8069496533686714,0.12428037239677202,0.0,8.343686366248587,-0.6826692809718994,0.0,0.6826692809718994
474,0.0318,5.379664355791142,0.0,0.0,0.0,0.0,5.379664355791142,0.0,0.0,0.5379664355791143,0.0,0.0,7.661017085276688,-0.5379664355791143,0.0,0.5379664355791143
475,0.02939,2.689832177895571,0.0,0.0,0.0,0.0,2.689832177895571,0.0,0.0,0.26898321778955714,0.0,0.0,7.123050649697574,-0.26898321778955714,0.0,0.26898321778955714
476,0.028329999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854067431908014,0.0,0.0,0.0
477,0.02606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854067431908014,0.0,0.0,0.0
478,0.02209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854067431908014,0.0,0.0,0.0
